#Parameters = {Vbot=-1000; Vside=-500; Vtop=1000; g=1; h=30; l=150; t=1; w=100}
#"Z / mm"	"Potential (Es) (Z)_1 [Real Part]"
#-------------------------------------------
53.300381075713	-361.26028442383
53.547142099211	-361.24954223633
53.793903122710	-361.23767089844
54.040664146209	-361.22552490234
54.287425169707	-361.21203613281
54.534186193206	-361.19830322266
54.780947216705	-361.18301391602
55.027708240203	-361.16751098633
55.274469263702	-361.15017700195
55.521230287201	-361.13265991211
55.767991310699	-361.11300659180
56.014752334198	-361.09320068359
56.261513357697	-361.07092285156
56.508274381195	-361.04855346680
56.755035404694	-361.02331542969
57.001796428193	-360.99807739258
57.248557451691	-360.96942138672
57.495318475190	-360.94079589844
57.742079498689	-360.90844726562
57.988840522187	-360.87600708008
58.235601545686	-360.83941650391
58.482362569185	-360.80261230469
58.729123592683	-360.76123046875
58.975884616182	-360.71948242188
59.222645639681	-360.67263793945
59.469406663179	-360.62524414062
59.716167686678	-360.57226562500
59.962928710177	-360.51843261719
60.209689733675	-360.45840454102
60.456450757174	-360.39724731445
60.703211780673	-360.32925415039
60.949972804171	-360.25967407227
61.196733827670	-360.18258666992
61.443494851169	-360.10345458984
61.690255874667	-360.01593017578
61.937016898166	-359.92584228516
62.183777921665	-359.82641601562
62.430538945163	-359.72375488281
62.677299968662	-359.61077880859
62.924060992161	-359.49365234375
63.170822015659	-359.36511230469
63.417583039158	-359.23138427734
63.664344062657	-359.08499145508
63.911105086155	-358.93209838867
64.157866109654	-358.76522827148
64.404627133153	-358.59027099609
64.651388156651	-358.39981079102
64.898149180150	-358.19937133789
65.144910203649	-357.98178100586
65.391671227147	-357.75180053711
65.638432250646	-357.50280761719
65.885193274145	-357.23864746094
66.131954297643	-356.95339965820
66.378715321142	-356.64950561523
66.625476344641	-356.32232666016
66.872237368139	-355.97216796875
67.118998391638	-355.59637451172
67.365759415137	-355.19235229492
67.612520438635	-354.76004028320
67.859281462134	-354.29315185547
68.106042485633	-353.79513549805
68.352803509131	-353.25476074219
68.599564532630	-352.68026733398
68.846325556129	-352.05389404297
69.093086579627	-351.39016723633
69.339847603126	-350.66314697266
69.586608626625	-349.89538574219
69.833369650123	-349.05041503906
70.080130673622	-348.16137695312
70.326891697121	-347.17834472656
70.573652720619	-346.14807128906
70.820413744118	-345.00375366211
71.067174767617	-343.80947875977
71.313935791115	-342.47760009766
71.560696814614	-341.09365844727
71.807457838113	-339.54498291016
72.054218861612	-337.94335937500
72.300979885110	-336.14703369141
72.547740908609	-334.29846191406
72.794501932107	-332.22357177734
73.041262955606	-330.09942626953
73.288023979105	-327.71856689453
73.534785002604	-325.29394531250
73.781546026102	-322.58828735352
74.028307049601	-319.84625244141
74.275068073100	-316.81149291992
74.521829096598	-313.74972534180
74.768590120097	-310.40151977539
75.015351143596	-307.03643798828
75.262112167094	-303.41528320312
75.508873190593	-299.78091430664
75.755634214092	-295.94641113281
76.002395237590	-292.10275268555
76.249156261089	-288.12405395508
76.495917284588	-284.14071655273
76.742678308086	-280.08950805664
76.989439331585	-276.03771972656
77.236200355084	-271.97976684570
77.482961378582	-267.92456054688
77.729722402081	-263.91537475586
77.976483425580	-259.91137695312
78.223244449078	-255.99449157715
78.470005472577	-252.08442687988
78.716766496076	-248.29197692871
78.963527519574	-244.50738525391
79.210288543073	-240.86105346680
79.457049566572	-237.22309875488
79.703810590070	-233.73654174805
79.950571613569	-230.25840759277
80.197332637068	-226.93876647949
80.444093660566	-223.62733459473
80.690854684065	-220.47676086426
80.937615707564	-217.33401489258
81.184376731062	-214.35107421875
81.431137754561	-211.37545776367
81.677898778060	-208.55622863770
81.924659801558	-205.74382019043
82.171420825057	-203.08268737793
82.418181848556	-200.42759704590
82.664942872054	-197.91755676270
82.911703895553	-195.41299438477
83.158464919052	-193.04656982422
83.405225942550	-190.68508911133
83.651986966049	-188.45429992676
83.898747989548	-186.22792053223
84.145509013046	-184.12466430664
84.392270036545	-182.02532958984
84.639031060044	-180.04162597656
84.885792083542	-178.06137084961
85.132553107041	-176.18928527832
85.379314130540	-174.32028198242
85.626075154038	-172.55206298828
85.872836177537	-170.78660583496
86.119597201036	-169.11497497559
86.366358224534	-167.44570922852
86.613119248033	-165.86354064941
86.859880271532	-164.28340148926
87.106641295030	-162.78390502930
87.353402318529	-161.28614807129
87.600163342028	-159.86291503906
87.846924365526	-158.44113159180
88.093685389025	-157.08801269531
88.340446412524	-155.73611450195
88.587207436022	-154.44728088379
88.833968459521	-153.15940856934
89.080729483020	-151.92933654785
89.327490506518	-150.70002746582
89.574251530017	-149.52345275879
89.821012553516	-148.34747314453
90.067773577014	-147.21936035156
90.314534600513	-146.09170532227
90.561295624012	-145.00730895996
90.808056647510	-143.92324829102
91.054817671009	-142.87800598145
91.301578694508	-141.83299255371
91.548339718006	-140.82249450684
91.795100741505	-139.81216430664
92.041861765004	-138.83222961426
92.288622788502	-137.85240173340
92.535383812001	-136.89894104004
92.782144835500	-135.94555664062
93.028905858998	-135.01463317871
93.275666882497	-134.08374023438
